#Time	Granularity
57028.000000	500000
114642.000000	1000000
167620.000000	1500000
226780.000000	2000000
276089.000000	2500000
341726.000000	3000000
385829.000000	3500000
457068.000000	4000000
494996.000000	4500000
565707.000000	5000000
