#Time     Granularity
103137.000000 500000
206275.000000 1000000
302750.000000 1500000
410735.000000 2000000
503240.000000 2500000
617095.000000 3000000
702764.000000 3500000
821898.000000 4000000
901335.000000 4500000
1027639.00000 5000000
